ProductID,ProductName,Category,Description,Price,StockLevel
1,Wireless Mouse,Electronics,A wireless mouse with ergonomic design and long battery life,25.99,150
2,Laptop Stand,Electronics,Adjustable laptop stand for better posture and cooling,29.99,75
3,Smartphone Case,Accessories,Durable silicone case for iPhone 13,15.99,200
4,Desk Lamp,Furniture,A modern LED desk lamp with touch control and adjustable brightness,39.99,50
5,Backpack,Accessories,Spacious and stylish backpack for daily use and travel,49.99,120
6,Noise-Cancelling Headphones,Electronics,Over-ear headphones with active noise cancellation,99.99,30
7,Smart Watch,Electronics,Water-resistant smartwatch with fitness tracking features,199.99,40
8,Office Chair,Furniture,Ergonomic office chair with lumbar support and adjustable height,159.99,20
9,Wireless Keyboard,Electronics,Compact wireless keyboard with responsive keys and long battery life,35.99,100
10,Travel Mug,Accessories,Insulated stainless steel travel mug with spill-proof lid,19.99,180
